Name;Symbol
Direxion Daily TSLA Bull 2X Shares;TSLL
Direxion Daily Semiconductor Bull 3x Shares;SOXL
Direxion Daily S&P 500 Bear 3X Shares;SPXS
ProShares UltraPro QQQ;TQQQ
T-Rex 2X Inverse Tesla Daily Target ETF;TSLZ
ProShares UltraPro Short QQQ;SQQQ
T-Rex 2X Long MSTR Daily Target ETF;MSTU
T-Rex 2X Inverse NVIDIA Daily Target ETF;NVDQ
SPDR S&P 500 ETF Trust;SPY
iShares China Large-Cap ETF;FXI
Financial Select Sector SPDR Fund;XLF
iShares Bitcoin Trust ETF;IBIT
Direxion Daily Semiconductor Bear 3x Shares;SOXS
2x Ether ETF;ETHU
Invesco QQQ Trust Series I;QQQ
iShares iBoxx $ High Yield Corporate Bond ETF;HYG
iShares 20+ Year Treasury Bond ETF;TLT
The Sprott Physical Silver Trust;PSLV
iShares Russell 2000 ETF;IWM
Direxion Daily Small Cap Bear 3X Shares;TZA
iShares MSCI Emerging Markets ETF;EEM
KraneShares CSI China Internet ETF;KWEB
iShares iBoxx $ Investment Grade Corporate Bond ETF;LQD
Direxion Daily Financial Bear 3X Shares;FAZ
GraniteShares 2x Long NVDA Daily ETF;NVDL
iShares MSCI Brazil ETF;EWZ
T-Rex 2X Inverse MSTR Daily Target ETF;MSTZ
ProShares Ultra VIX Short-Term Futures ETF;UVXY
iShares Silver Trust;SLV
VanEck Gold Miners ETF;GDX
Direxion Daily S&P Biotech Bear 3x Shares;LABD
T-Rex 2X Long NVIDIA Daily Target ETF;NVDX
Energy Select Sector SPDR Fund;XLE
GraniteShares 2x Long AMD Daily ETF;AMDL
Schwab US Dividend Equity ETF;SCHD
Invesco Senior Loan ETF;BKLN
ProShares UltraShort S&P500;SDS
iShares MSCI EAFE ETF;EFA
Direxion Daily Small Cap Bull 3X Shares;TNA
Direxion Daily NVDA Bear 1X Shares;NVDD
ProShares UltraPro Short S&P500;SPXU
Consumer Staples Select Sector SPDR Fund;XLP
SPDR S&P Regional Banking ETF;KRE
Vanguard FTSE Developed Markets ETF;VEA
iShares Broad USD High Yield Corporate Bond ETF;USHY
iShares U.S. Treasury Bond ETF;GOVT
Direxion Daily TSLA Bear 1X Shares;TSLS
ARK Innovation ETF;ARKK
Tradr 2X Short TSLA Daily ETF;TSLQ
Schwab U.S. Large-Cap Growth ETF;SCHG
Schwab U.S. Large-Cap ETF;SCHX
iShares Core MSCI EAFE ETF;IEFA
Direxion Daily S&P 500 Bear 1x Shares;SPDN
Utilities Select Sector SPDR Fund;XLU
Xtrackers Harvest CSI 300 China A-Shares ETF;ASHR
iShares Core MSCI Emerging Markets ETF;IEMG
iShares Ethereum Trust ETF;ETHA
SPDR Bloomberg 1-3 Month T-Bill ETF;BIL
Schwab International Equity ETF;SCHF
iShares Core S&P Mid-Cap ETF;IJH
iShares 0-3 Month Treasury Bond ETF;SGOV
Industrial Select Sector SPDR Fund;XLI
United States Natural Gas Fund LP;UNG
SPDR S&P Biotech ETF;XBI
SPDR Portfolio S&P 500 ETF;SPLG
2x Bitcoin Strategy ETF;BITX
Vanguard FTSE Emerging Markets ETF;VWO
Health Care Select Sector SPDR Fund;XLV
ProShares Bitcoin ETF;BITO
Invesco S&P 500® Equal Weight ETF;RSP
SPDR Gold Shares;GLD
iShares Core U.S. Aggregate Bond ETF;AGG
ProShares Short Russell2000;RWM
ProShares UltraShort Bloomberg Natural Gas;KOLD
Global X NASDAQ 100 Covered Call ETF;QYLD
Janus Henderson AAA CLO ETF;JAAA
Direxion Daily FTSE China Bull 3X Shares;YINN
iPath Series B S&P 500 VIX Short-Term Futures ETN;VXX
iShares Short Treasury Bond ETF;SHV
VanEck Semiconductor ETF;SMH
2x Long VIX Futures ETF;UVIX
Vanguard Intermediate-Term Corporate Bond ETF;VCIT
Vanguard Total Bond Market ETF;BND
Direxion Daily 20+ Year Treasury Bull 3X Shares;TMF
ProShares UltraShort Bitcoin ETF;SBIT
iShares Gold Trust;IAU
SPDR Portfolio Intermediate Term Corporate Bond ETF;SPIB
iShares 7-10 Year Treasury Bond ETF;IEF
iShares Core S&P 500 ETF;IVV
Vanguard S&P 500 ETF;VOO
ProShares UltraShort QQQ;QID
iShares J.P. Morgan USD Emerging Markets Bond ETF;EMB
Invesco Preferred ETF;PGX
Materials Select Sector SPDR Fund;XLB
JPMorgan Ultra-Short Income ETF;JPST
iShares Expanded Tech-Software Sector ETF;IGV
Schwab US REIT ETF;SCHH
iShares MSCI India ETF;INDA
ProShares Short S&P500;SH
SPDR S&P Retail ETF;XRT
